prices,market_caps,total_volumes,date,year
35.7076,34769140591.6425,1346759594.8959148,2021-03-13 00:00:00,2021
37.3173,36630956614.64997,1507640392.6381807,2021-03-14 00:00:00,2021
36.726,35929717095.64556,1076645082.295149,2021-03-15 00:00:00,2021
34.3538,33698594020.455296,1939668585.3105516,2021-03-16 00:00:00,2021
35.6504,34537765726.02906,1616622960.744138,2021-03-17 00:00:00,2021
36.2945,35349519331.46919,1407907457.9845603,2021-03-18 00:00:00,2021
35.523,34684937913.02223,1130555670.2476017,2021-03-19 00:00:00,2021
38.2163,37374066395.854706,1816822876.654633,2021-03-20 00:00:00,2021
37.5048,36835725243.02955,1624244017.1843762,2021-03-21 00:00:00,2021
36.7651,35952735874.87629,1282812882.4768355,2021-03-22 00:00:00,2021
35.518,34774273754.16565,1238649934.2621312,2021-03-23 00:00:00,2021
34.2863,33531597127.33813,1146831543.568595,2021-03-24 00:00:00,2021
30.5709,30045752287.980137,1939572978.8947408,2021-03-25 00:00:00,2021
29.7103,29046963177.401062,2380374370.5190663,2021-03-26 00:00:00,2021
33.1293,32342912958.142776,1302279715.7344959,2021-03-27 00:00:00,2021
32.6235,31949432348.545704,1081995006.209691,2021-03-28 00:00:00,2021
32.1708,31468649102.246227,872725521.1743374,2021-03-29 00:00:00,2021
34.3264,33490535900.76816,837849935.5380555,2021-03-30 00:00:00,2021
33.9251,33200100559.216576,972088014.2611275,2021-03-31 00:00:00,2021
36.8885,36315780875.424095,2749780924.550207,2021-04-01 00:00:00,2021
37.6247,36943423386.29301,2112188584.2797937,2021-04-02 00:00:00,2021
40.9439,40042895373.819046,2109672607.7135742,2021-04-03 00:00:00,2021
41.7015,41035684386.907776,3953738785.6009393,2021-04-04 00:00:00,2021
44.2399,43038662965.1209,2203439508.717633,2021-04-05 00:00:00,2021
45.6083,44120784681.118515,2101421530.2666874,2021-04-06 00:00:00,2021
43.4249,42688387270.04445,2250595124.9908485,2021-04-07 00:00:00,2021
39.7505,39229624713.84908,2407805210.9192314,2021-04-08 00:00:00,2021
41.409,40700735346.47808,1386402238.6371279,2021-04-09 00:00:00,2021
40.7844,40088795175.58917,1063984405.5106469,2021-04-10 00:00:00,2021
41.5919,40822769763.2672,1301909092.0272765,2021-04-11 00:00:00,2021
41.3786,40683743856.07151,1220208465.547585,2021-04-12 00:00:00,2021
40.5573,39897746204.72769,1426647376.004758,2021-04-13 00:00:00,2021
43.2222,42419688929.988556,2159038658.702956,2021-04-14 00:00:00,2021
42.4979,41865671360.148796,2399471936.9260116,2021-04-15 00:00:00,2021
43.5204,42864935181.02473,1865431184.08903,2021-04-16 00:00:00,2021
41.5127,40968120748.56171,2098476058.2316206,2021-04-17 00:00:00,2021
42.409,42045360704.400856,3622543924.235522,2021-04-18 00:00:00,2021
37.3734,36963739593.6074,4664575738.97489,2021-04-19 00:00:00,2021
34.8212,34547573875.09173,2183490705.6617746,2021-04-20 00:00:00,2021
35.4145,35052437008.23122,2535369660.112585,2021-04-21 00:00:00,2021
34.0156,33656812078.590767,2067143570.5438857,2021-04-22 00:00:00,2021
33.2421,32837988741.585655,2727362562.7818136,2021-04-23 00:00:00,2021
